"","ID","DOB","SEX","STATUS","NEUTER","ISTART","NSTART","IEND","NEND","HD","ED","CCL","LSA","MCT","OSA","HSA","PYO","UI","MC"
"1","GR001xx",2010-12-12,"Female","< 6 mo.",2011-01-01,NA,2012-04-05,NA,2012-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","GR001xy",1999-09-04,"Male","< 6 mo.",1999-10-04,NA,2001-03-12,NA,2001-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","GR002xx",2003-10-28,"Female","< 6 mo.",2003-11-27,NA,2005-01-05,NA,2005-01-13,NA,NA,NA,NA,NA,NA,NA,NA,"invalid",NA
"4","GR002xy",2000-12-07,"Male","< 6 mo.",2001-01-06,NA,2006-12-18,NA,2006-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","GR003xx",2006-04-29,"Female","< 6 mo.",2006-05-29,NA,2007-05-01,NA,2007-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","GR003xy",2005-08-01,"Male","< 6 mo.",2005-09-01,NA,2007-07-05,NA,2011-12-07,"39268",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","GR004xx",2004-08-15,"Female","< 6 mo.",2004-09-15,NA,2011-07-27,NA,2011-07-27,"38579",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","GR005xx",2001-07-01,"Female","< 6 mo.",2001-08-09,NA,2003-05-28,NA,2003-06-05,NA,NA,NA,"invalid",NA,NA,NA,NA,NA,NA
"9","GR004xy",2000-12-30,"Male","< 6 mo.",2001-02-13,NA,2006-04-17,NA,2006-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","GR006xx",2007-06-17,"Female","< 6 mo.",2007-08-01,NA,2008-10-23,NA,2012-10-18,"invalid","invalid",NA,NA,NA,NA,NA,NA,NA,NA
"11","GR005xy",1996-07-04,"Male","< 6 mo.",1996-09-01,NA,2002-07-24,NA,2002-07-24,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","GR006xy",2000-06-08,"Male","< 6 mo.",2000-08-07,NA,2002-07-22,NA,2002-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","GR007xx",2000-09-14,"Female","< 6 mo.",2000-11-13,NA,2008-07-10,NA,2009-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","GR007xy",2006-07-01,"Male","< 6 mo.",2006-08-30,NA,2009-06-02,NA,2011-03-30,NA,"invalid",NA,NA,NA,NA,NA,NA,NA,NA
"15","GR008xy",2004-09-24,"Male","< 6 mo.",2004-12-16,NA,2007-08-13,NA,2007-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","GR472xx",2005-11-01,"Female","< 6 mo.",2006-01-23,NA,2011-07-19,NA,2011-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","GR009xy",2004-10-17,"Male","< 6 mo.",2005-01-14,NA,2008-10-24,NA,2008-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","GR544xy",2002-12-16,"Male","< 6 mo.",2003-03-16,NA,2012-01-05,NA,2012-01-05,NA,NA,NA,"invalid",NA,NA,NA,NA,NA,NA
"19","GR008xx",2000-09-01,"Female","< 6 mo.",2000-12-01,NA,2008-09-08,NA,2008-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","GR009xx",2001-05-11,"Female","< 6 mo.",2001-08-10,NA,2008-04-30,NA,2008-05-01,NA,NA,"39202",NA,NA,NA,NA,NA,NA,NA
"21","GR010xx",2002-02-04,"Female","< 6 mo.",2002-05-06,NA,2006-06-09,NA,2006-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","GR010xy",2001-04-26,"Male","< 6 mo.",2001-07-26,NA,2007-09-09,NA,2007-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","GR011xx",2002-02-14,"Female","< 6 mo.",2002-05-16,NA,2008-11-12,NA,2012-05-30,NA,NA,"39753",NA,"41044",NA,NA,NA,NA,NA
"24","GR011xy",2001-05-01,"Male","< 6 mo.",2001-07-31,NA,2002-07-22,NA,2002-07-24,"invalid","invalid",NA,NA,NA,NA,NA,NA,NA,NA
"25","GR012xx",2002-04-01,"Female","< 6 mo.",2002-07-01,NA,2008-10-30,NA,2008-10-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","GR012xy",2001-10-11,"Male","< 6 mo.",2002-01-10,NA,2005-10-18,NA,2005-11-05,NA,NA,NA,NA,NA,NA,"38642",NA,NA,NA
"27","GR013xx",2003-03-24,"Female","< 6 mo.",2003-06-23,NA,2005-09-20,NA,2005-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","GR013xy",2001-07-01,"Male","< 6 mo.",2001-09-30,NA,2008-03-24,NA,2008-03-27,"39508",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","GR014xx",2005-06-01,"Female","< 6 mo.",2005-08-31,NA,2009-01-28,NA,2009-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","GR014xy",2001-08-01,"Male","< 6 mo.",2001-11-01,NA,2009-03-02,NA,2009-03-02,NA,NA,NA,NA,"39868",NA,NA,NA,NA,NA
"31","GR015xy",2009-07-07,"Male","< 6 mo.",2009-10-10,NA,2011-02-22,NA,2011-02-22,"invalid","invalid","40473",NA,NA,NA,NA,NA,NA,NA
"32","GR016xy",2000-11-22,"Male","< 6 mo.",2001-02-25,NA,2006-04-05,NA,2007-02-21,NA,NA,"38322",NA,NA,NA,NA,NA,NA,NA
"33","GR545xy",1997-09-09,"Male","< 6 mo.",1997-12-18,NA,2008-11-10,NA,2008-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","GR474xx",1994-07-01,"Female","< 6 mo.",1994-10-13,NA,2003-11-04,NA,2004-02-14,NA,NA,NA,"37834",NA,NA,NA,NA,NA,NA
"35","GR017xy",1994-09-01,"Male","< 6 mo.",1994-12-15,NA,2001-04-11,NA,2001-04-17,NA,NA,NA,"36959",NA,NA,NA,NA,NA,NA
"36","GR018xy",2000-07-10,"Male","< 6 mo.",2000-11-03,NA,2007-05-21,NA,2007-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","GR019xy",2002-03-08,"Male","< 6 mo.",2002-07-03,NA,2006-06-07,NA,2006-10-23,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","GR020xy",2003-10-25,"Male","< 6 mo.",2004-02-19,NA,2007-08-15,NA,2007-10-08,"39310",NA,"39267",NA,NA,NA,NA,NA,NA,NA
"39","GR021xy",2002-03-26,"Male","< 6 mo.",2002-07-22,NA,2009-06-25,NA,2009-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","GR022xy",2007-06-28,"Male","< 6 mo.",2007-10-26,NA,2008-11-12,NA,2008-12-10,"39722","invalid",NA,NA,NA,NA,NA,NA,NA,NA
"41","GR023xy",2010-06-07,"Male","< 6 mo.",2010-10-05,NA,2011-10-14,NA,2012-08-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","GR015xx",1999-08-02,"Female","< 6 mo.",1999-12-01,NA,2002-08-11,NA,2002-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","GR016xx",2000-04-01,"Female","< 6 mo.",2000-07-31,NA,2005-01-12,NA,2005-01-14,NA,NA,NA,"invalid",NA,NA,NA,NA,NA,NA
"44","GR017xx",2001-12-25,"Female","< 6 mo.",2002-04-25,NA,2006-01-31,NA,2012-10-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","GR018xx",2002-07-01,"Female","< 6 mo.",2002-10-30,NA,2004-10-31,NA,2004-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
